,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),X,36.6,36.43,37.13,33.97,38.88,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,0.19,0.2,0.21,0.16,0.21,0.19,0.19
Impulse Phase,0.2,0.22,0.24,0.21,0.22,0.23,0.22
Delivery Phase,0.27,0.23,0.26,0.2,0.28,0.23,0.24
Release Phase,0.14,0.17,0.16,0.18,0.16,0.18,0.16
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),47,45,41,38,40,40,42
Release (°),35,37,38,33,31,36,35
Attack (°),12,8,3,5,9,4,7
Yaw (°),11,8,13,24,13,10,13
VoR (m/s),,14,,19,,15,16
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
PKAc (°),,,,,,,
PKAm (°),,,,,,,
Difference,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),,127,,133,,136,132
Jav-Forearm Angle (°),,56,,57,,52,55
DISTANCES,,,,,,,
ISL (cm),,147.4,,136.1,,133,138.8
BSL (cm),,153.2,,161.8,,159.1,158
ISL:BSL (%),,-4%,,-16%,,-16%,-0.12
NA Draw Length (m),,103.7,,96.9,,107.7,102.8
Pull Length (m),,134.6,,175.8,,129.9,146.8
Draw distance (m),,238.27,,272.68,,237.59,249.51
Release distance (m),,33.3,,33.5,,34.4,33.7
