,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),X,36.89,X,X,35.66,33.74,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,0.17,0.19,0.17,0.19,0.2,0.16,0.18
Impulse Phase,0.19,0.18,0.2,0.19,0.21,0.21,0.2
Delivery Phase,0.26,0.23,0.23,0.24,0.22,0.19,0.23
Release Phase,0.13,0.18,0.17,0.18,0.17,0.19,0.17
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),40,38,42,40,40,38,40
Release (°),29,33,34,34,35,38,34
Attack (°),11,5,8,6,5,0,6
Yaw (°),14,2,5,6,9,12,8
,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
PKAc (°),165,158,157,161,162,164,161
PKAm (°),142,136,137,140,137,133,138
Difference,23,22,20,21,25,31,24
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),120,130,120,127,125,121,124
Jav-Forearm Angle (°),56,52,51,52,51,56,53
DISTANCES,,,,,,,
ISL (cm),,107.1,,,136.1,113.8,119
BSL (cm),,148.7,,,155.1,163.1,155.6
ISL:BSL (%),,-28%,,,-12%,-30%,-0.23
NA Draw Length (m),,107.2,,,109.5,103.2,106.6
Pull Length (m),,145.7,,,135.9,136.3,139.3
Draw distance (m),,252.87,,,245.45,239.5,245.94
Release distance (m),,,,,,,
