,THROW,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,
Distance (m),69.27,73.51,69.52,67.48,71.13,70.12,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,
Impulse Contact,0.14,0.14,0.15,0.15,0.15,0.14,0.15,,,,,,,,,,,,,,
Impulse Phase,0.42,0.4,0.41,0.42,0.43,0.42,0.42,,,,,,,,,,,,,,
Delivery Phase,0.19,0.2,0.19,0.19,0.18,0.19,0.19,,,,,,,,,,,,,,
Release Phase,0.13,0.13,0.12,0.13,0.13,0.14,0.13,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,
Release (°),41,37,37,35,36,40,38,,,,,,,,,,,,,,
Attack (°),2,6,7,6,7,2,5,,,,,,,,,,,,,,
Yaw (°),13,19,19,17,19,17,17,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,
PKAc (°),,,,,,,,,,,,,,,,,,,,,
PKAm (°),,,,,,,,,,,,,,,,,,,,,
Difference,,,,,,,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),149,152,152,147,150,143,148.8333333,,,,,,,,,,,,,,
Jav-Forearm Angle (°),45,44,42,43,40,45,43.16666667,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,
ISL (cm),,,,2.29,2.36,2.45,2.366666667,,,,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),1.47,1.56,1.52,1.39,1.44,1.41,1.465,,,,,,,,,,,,,,
Pull Length (m),1.11,1.17,1.04,1.3,1.18,1.39,1.198333333,,,,,,,,,,,,,,
Draw distance (m),2.58,2.73,2.56,2.69,2.62,2.8,2.663333333,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,
