,THROW,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,
Distance (m),71.05,72.85,71.39,X,X,71.05,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,
Impulse Contact,0.14,0.16,0.16,0.15,0.15,0.14,0.15,,,,,,,,,,,,,
Impulse Phase,0.41,0.42,0.43,0.41,0.41,0.41,0.42,,,,,,,,,,,,,
Delivery Phase,0.19,0.16,0.17,0.16,0.18,0.19,0.18,,,,,,,,,,,,,
Release Phase,0.14,0.14,0.13,0.15,0.12,0.14,0.14,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,
Release (°),34,31,33,29,32,34,32,,,,,,,,,,,,,
Attack (°),6,8,9,10,10,6,8,,,,,,,,,,,,,
Yaw (°),18,15,11,19,13,18,16,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
PKAc (°),162,169,174,169,173,162,168.1666667,,,,,,,,,,,,,
PKAm (°),135,139,143,128,142,135,137,,,,,,,,,,,,,
Difference,27,30,31,41,31,27,31.16666667,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),145,141,135,137,138,145,140.1666667,,,,,,,,,,,,,
Jav-Forearm Angle (°),61,58,64,59,65,61,61.33333333,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.17,2.11,2.21,2.12,2.07,2.17,2.141666667,,,,,,,,,,,,,
BSL (cm),1.52,1.5,1.58,1.56,1.6,1.52,1.546666667,,,,,,,,,,,,,
ISL:BSL (%),0.43,0.41,0.4,0.36,0.29,0.43,39%,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,
Draw distance (m),2.55,2.41,2.5,2.55,2.41,2.55,2.495,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,
