,THROW,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,
Distance (m),X,70.69,68.98,67.15,X,69.44,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,
Impulse Contact,,,,,,,,,,,,,,,,,,,
Impulse Phase,0.4,0.41,0.39,0.4,0.4,0.39,0.40,,,,,,,,,,,,
Delivery Phase,0.2,0.18,0.18,0.16,0.18,0.18,0.18,,,,,,,,,,,,
Release Phase,0.12,0.14,0.14,0.16,0.13,0.14,0.14,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,
Release (°),31,37,31,34,32,31,33,,,,,,,,,,,,
Attack (°),10,5,8,7,9,10,8,,,,,,,,,,,,
Yaw (°),19,14,14,15,14,14,15,,,,,,,,,,,,
VoR (m/s),25.3,24.3,25.9,25.9,26,25.9,25.55,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
PKAc (°),176,173,168,169,174,166,171,,,,,,,,,,,,
PKAm (°),158,144,144,136,152,137,145.1666667,,,,,,,,,,,,
Difference,18,29,24,33,22,29,25.83333333,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),138,138,138,138,139,137,138,,,,,,,,,,,,
Jav-Forearm Angle (°),70,66,66,61,68,65,66,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,
ISL (cm),1.87,1.92,1.91,1.83,1.91,1.84,1.88,,,,,,,,,,,,
BSL (cm),1.61,1.5,1.54,1.45,1.58,1.6,1.546666667,,,,,,,,,,,,
ISL:BSL (%),16%,28%,24%,26%,21%,15%,22%,,,,,,,,,,,,
NA Draw Length (m),1.21,1.02,1.07,0.94,1.2,1.04,1.08,,,,,,,,,,,,
Pull Length (m),1.24,1.35,1.35,1.58,1.21,1.31,1.34,,,,,,,,,,,,
Draw distance (m),2.45,2.37,2.42,2.52,2.41,2.35,2.42,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,
