,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),28.94,28.86,28.67,28.18,28.48,27.58,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,0.12,0.14,0.14,0.13,,0.14,0.13
Impulse Phase,0.17,0.17,0.16,0.14,,0.14,0.16
Delivery Phase,0.19,0.18,0.18,0.17,,0.18,0.18
Release Phase,0.17,0.18,0.18,0.18,0.18,0.18,0.18
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),41,41,41,42,37,37,40
Release (°),40,34,31,38,36,34,36
Attack (°),1,7,10,4,1,3,4
Yaw (°),4,6,12,7,6,8,7
VoR (m/s),15.2,15.6,15.9,15.9,15.6,15.6,15.6
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
PKAc (°),164,166,168,159,166,157,163
PKAm (°),148,143,145,141,147,143,145
Difference,16,23,23,18,19,14,19
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),157,147,138,138,133,141,142
Jav-Forearm Angle (°),70,70,73,73,70,69,71
DISTANCES,,,,,,,
ISL (cm),,126.5,119.2,,,114.5,120.1
BSL (cm),,124.8,120.8,,129.7,120.6,124
ISL:BSL (%),,1%,-1%,,,-5%,-0.02
NA Draw Length (m),,104.5,100.9,,102.5,110.7,104.6
Pull Length (m),,119.4,133.2,130.1,135.2,130.4,129.7
Draw distance (m),,223.91,234.09,,237.71,241.16,234.22
Release distance (m),,10.3,-2.7,7,-2.4,-0.9,2.2
