,THROW,,,,,,
,1,2,3,4,5,6,Average
SUMMARY,,,,,,,
Distance (m),47.58,46.77,50.28,48.53,46.05,49.52,
CRITICAL PHASE DURATIONS (s),,,,,,,
Impulse Contact,0.15,0.14,0.13,0.14,0.15,0.14,0.14
Impulse Phase,0.22,0.23,0.24,0.22,0.24,0.23,0.23
Delivery Phase,0.2,0.18,0.21,0.18,0.2,0.2,0.19
Release Phase,0.15,0.16,0.13,0.15,0.15,0.15,0.14
ANGULAR RELEASE PARAMETERS,,,,,,,
Attitude (°),59,55,58,60,60,57,58
Release (°),37,35,39,40,42,41,39
Attack (°),22,20,19,20,18,16,19
Yaw (°),18,24,24,25,27,30,25
,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,
PKAc (°),,177,176,180,177,179,178
PKAm (°),,153,155,151,158,161,156
Difference,,24,21,29,19,18,22
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,
Elbow Angle (°),131,130,128,125,125,128,128
Jav-Forearm Angle (°),101,96,99,105,97,96,99
DISTANCES,,,,,,,
ISL (cm),163.9,167.2,174.9,162.6,172.2,176.7,169.6
BSL (cm),149.7,151.7,153.5,151.5,152.4,152.7,151.9
ISL:BSL (%),9%,10%,14%,7%,13%,16%,0.12
NA Draw Length (m),119.7,107.3,118.9,109.7,112.3,,113.6
Pull Length (m),100,121.1,103.6,107,98.6,103.5,105.6
Draw distance (m),219.68,228.37,222.56,216.69,210.87,,219.63
