,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),48.5,52.22,51.7,48.37,49.33,51.91,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,99,90,96,92,90,97,94.00,,,,,,,,,,,,,,,
Impulse Phase,123,130,122,124,122,121,123.67,,,,,,,,,,,,,,,
Delivery Phase,0.14,0.15,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,
Release Phase,0.39,0.39,0.38,0.39,0.39,0.38,0.39,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),41,38,42,38,39,38,39,,,,,,,,,,,,,,,
Attack (°),11,8,10,15,10,12,11,,,,,,,,,,,,,,,
Yaw (°),27,31,31,28,21,26,27,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),,176,,,,178,177,,,,,,,,,,,,,,,
PKAm (°),,162,,,,152,157,,,,,,,,,,,,,,,
Difference,,14,,,,26,20,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.3,2.23,2.38,2.32,2.25,2.47,2.325,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.01,0.96,1.19,1.15,1.17,1.21,1.115,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),0,0,0,1.85,1.88,,0.746,,,,,,,,,,,,,,,
BSL (cm),,,,,,1.56,1.56,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.29,1.27,1.19,1.17,1.08,1.26,1.21,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
