,THROW,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,
Distance (m),60.72,57.75,62.78,X,X,X,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,
Impulse Contact,0.13,0.13,0.14,0.15,0.13,0.14,0.14,,,,,,,,,,,,,,
Impulse Phase,0.33,0.32,0.33,0.35,0.33,0.36,0.34,,,,,,,,,,,,,,
Delivery Phase,0.16,0.15,0.18,0.14,0.17,0.16,0.16,,,,,,,,,,,,,,
Release Phase,0.14,0.15,0.13,0.17,0.13,0.14,0.14,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,
Release (°),36,34,39,35,34,40,36,,,,,,,,,,,,,,
Attack (°),7,10,9,9,9,4,8,,,,,,,,,,,,,,
Yaw (°),18,21,21,23,20,24,21,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,
PKAc (°),,,,,,,,,,,,,,,,,,,,,
PKAm (°),,,,,,,,,,,,,,,,,,,,,
Difference,,,,,,,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),131,125,131,129,141,134,131.8333333,,,,,,,,,,,,,,
Jav-Forearm Angle (°),68,68,67,66,64,64,66.16666667,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,
ISL (cm),,,1.64,1.66,,1.69,1.663333333,,,,,,,,,,,,,,
BSL (cm),,,1.54,1.24,,1.43,1.403333333,,,,,,,,,,,,,,
ISL:BSL (%),,,6%,34%,,18%,19%,,,,,,,,,,,,,,
NA Draw Length (m),1.02,1.06,1.17,0.91,,1.03,1.038,,,,,,,,,,,,,,
Pull Length (m),1.25,1.37,1.08,1.35,1.28,1.24,1.261666667,,,,,,,,,,,,,,
Draw distance (m),2.27,2.43,2.25,2.26,1.28,2.27,2.126666667,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,
