,THROW,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,
Distance (m),68.47,67.49,71.81,77.32,73.88,73.65,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,
Impulse Contact,,,,,,,,,,,,,,,,,,,
Impulse Phase,0.45,0.38,0.38,0.37,0.37,0.43,0.40,,,,,,,,,,,,
Delivery Phase,0.15,0.14,0.16,0.15,0.14,0.15,0.15,,,,,,,,,,,,
Release Phase,0.13,0.14,0.13,0.12,0.14,0.13,0.13,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,
Release (°),33,32,31,29,30,31,31,,,,,,,,,,,,
Attack (°),5,5,4,7,6,4,5,,,,,,,,,,,,
Yaw (°),20,15,15,12,21,12,16,,,,,,,,,,,,
VoR (m/s),25.5,23.3,26.1,26.5,26.2,26.8,25.73333333,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
PKAc (°),178,174,174,179,174,175,175.6666667,,,,,,,,,,,,
PKAm (°),148,139,146,144,134,145,142.6666667,,,,,,,,,,,,
Difference,30,35,28,35,40,30,33,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),137,143,150,141,144,143,143,,,,,,,,,,,,
Jav-Forearm Angle (°),60,54,54,54,58,53,55.5,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,
ISL (cm),2.38,2.09,2.08,2.09,2.13,2.45,2.203333333,,,,,,,,,,,,
BSL (cm),1.48,1.49,1.54,1.58,1.54,1.53,1.526666667,,,,,,,,,,,,
ISL:BSL (%),61%,40%,35%,32%,38%,60%,44%,,,,,,,,,,,,
NA Draw Length (m),1.21,1.19,1.22,1.24,1.25,1.24,1.225,,,,,,,,,,,,
Pull Length (m),1.55,1.47,1.51,1.52,1.59,1.54,1.53,,,,,,,,,,,,
Draw distance (m),2.76,2.66,2.73,2.76,2.84,2.78,2.755,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,
