,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),72.9,74.9,73.97,72.13,72.88,72.9,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,51,54,55,53,53,51,52.83,,,,,,,,,,,,,,,
Impulse Phase,136,125,127,128,130,136,130.33,,,,,,,,,,,,,,,
Delivery Phase,0.13,0.13,0.13,0.13,0.14,0.13,0.13,,,,,,,,,,,,,,,
Release Phase,0.43,0.46,0.46,0.44,0.44,0.43,0.44,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),28,30,31,27,31,28,29,,,,,,,,,,,,,,,
Attack (°),10,5,5,7,4,10,7,,,,,,,,,,,,,,,
Yaw (°),24,29,29,19,22,24,25,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),179,,,,,179,179,,,,,,,,,,,,,,,
PKAm (°),139,,,,,139,139,,,,,,,,,,,,,,,
Difference,40,,,,,40,40,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.95,2.7,2.76,2.86,2.73,2.95,2.825,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.34,1.28,1.29,1.43,1.19,1.34,1.311666667,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.76,,2.83,,,2.76,2.783333333,,,,,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.61,1.42,1.47,1.43,1.54,1.61,1.513333333,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
