,THROW,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,
Distance (m),73.15,,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,
Impulse Contact,51,,,,,,51.00,,,,,,,,,,,
Impulse Phase,135,,,,,,135.00,,,,,,,,,,,
Delivery Phase,,,,,,,,,,,,,,,,,,
Release Phase,,,,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,
Release (°),30,,,,,,30,,,,,,,,,,,
Attack (°),7,,,,,,7,,,,,,,,,,,
Yaw (°),24,,,,,,24,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,
PKAc (°),,,,,,,,,,,,,,,,,,
PKAm (°),143,,,,,,143,,,,,,,,,,,
Difference,34,,,,,,34,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.65,,,,,,2.65,,,,,,,,,,,
Jav-Forearm Angle (°),1.13,,,,,,1.13,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,
ISL (cm),1.77,,,,,,1.77,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,
Draw distance (m),1.52,,,,,,1.52,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,
