,THROW,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,
Distance (m),57.74,X,56.85,X,52.99,51.44,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,
Impulse Contact,,,,,,,,,,,,,,,,,,,
Impulse Phase,0.36,0.35,0.36,0.36,0.35,0.36,0.36,,,,,,,,,,,,
Delivery Phase,0.18,0.17,0.19,0.2,0.17,0.19,0.18,,,,,,,,,,,,
Release Phase,0.14,0.15,0.14,0.14,0.16,0.15,0.15,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,
Release (°),35,35,37,33,32,37,35,,,,,,,,,,,,
Attack (°),-2,-3,-5,-1,2,-3,-2,,,,,,,,,,,,
Yaw (°),11,13,13,8,8,5,10,,,,,,,,,,,,
VoR (m/s),22.7,23,22.6,22.6,22.4,21.1,22.4,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
PKAc (°),174,173,174,179,173,175,174.6666667,,,,,,,,,,,,
PKAm (°),158,153,155,165,145,157,155.5,,,,,,,,,,,,
Difference,16,20,19,14,28,18,19.16666667,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),161,160,163,167,162,161,162.3333333,,,,,,,,,,,,
Jav-Forearm Angle (°),33,33,33,30,32,31,32,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,
ISL (cm),1.84,1.81,1.83,1.8,1.85,1.85,1.83,,,,,,,,,,,,
BSL (cm),1.37,1.38,1.42,1.5,1.33,1.38,1.396666667,,,,,,,,,,,,
ISL:BSL (%),34%,31%,29%,20%,39%,34%,31%,,,,,,,,,,,,
NA Draw Length (m),1.11,1.12,1.16,1.28,1.09,1.14,1.15,,,,,,,,,,,,
Pull Length (m),1.39,1.47,1.34,1.29,1.24,1.22,1.325,,,,,,,,,,,,
Draw distance (m),2.5,2.59,2.5,2.57,2.33,2.36,2.475,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,
