,THROW,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,
Distance (m),67.87,69.97,67.87,69.2,66.74,X,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,
Impulse Contact,0.16,0.15,0.16,0.17,0.16,0.14,0.16,,,,,,,,,,,,,
Impulse Phase,0.42,0.4,0.43,0.43,0.42,0.38,0.41,,,,,,,,,,,,,
Delivery Phase,0.24,0.23,0.23,0.24,0.25,0.23,0.24,,,,,,,,,,,,,
Release Phase,0.16,0.15,0.15,0.16,0.17,0.16,0.16,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,
Release (°),37,37,36,32,36,39,36,,,,,,,,,,,,,
Attack (°),3,0,1,-1,-3,2,0,,,,,,,,,,,,,
Yaw (°),14,9,9,19,23,21,16,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
PKAc (°),159,162,167,170,167,163,164.6666667,,,,,,,,,,,,,
PKAm (°),140,155,149,155,150,157,151,,,,,,,,,,,,,
Difference,19,7,18,15,17,6,13.66666667,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),144,138,140,150,144,140,142.6666667,,,,,,,,,,,,,
Jav-Forearm Angle (°),44,52,46,37,43,49,45.16666667,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.41,2.33,2.37,2.47,2.35,2.23,2.36,,,,,,,,,,,,,
BSL (cm),1.72,1.72,1.84,1.8,1.73,1.8,1.768333333,,,,,,,,,,,,,
ISL:BSL (%),40%,35%,29%,37%,36%,24%,34%,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,
Draw distance (m),2.88,2.91,2.86,2.99,2.9,2.91,2.908333333,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,
