,THROW,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,,
Distance (m),73.92,74.73,73.58,66.48,74.14,73.92,,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,,,,,,,,,,,,,,,,,,,,,,,
Impulse Phase,57,56,51,51,50,57,53.67,,,,,,,,,,,,,,,,
Delivery Phase,125,129,132,134,133,125,129.67,,,,,,,,,,,,,,,,
Release Phase,0.14,0.15,0.15,0.14,0.15,0.14,0.15,,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,,
Release (°),34,34,38,37,31,34,35,,,,,,,,,,,,,,,,
Attack (°),3,4,0,4,3,3,3,,,,,,,,,,,,,,,,
Yaw (°),12,0,15,6,5,12,8,,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),,172,,,,,172,,,,,,,,,,,,,,,,
PKAm (°),,155,,,,,155,,,,,,,,,,,,,,,,
Difference,,17,,,,,17,,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),3.07,3.11,3.06,3.01,3.16,3.07,3.08,,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.41,1.5,1.5,1.45,1.55,1.41,1.47,,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.45,2.5,,2.57,,2.45,2.4925,,,,,,,,,,,,,,,,
BSL (cm),,,,,,,,,,,,,,,,,,,,,,,
ISL:BSL (%),,,,,,,,,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.66,1.61,1.56,1.56,1.61,1.66,1.61,,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,,
