,THROW,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,
Distance (m),62.48,68.14,64.55,65.82,,62.48,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,
Impulse Contact,0.15,0.14,0.13,0.13,,0.15,0.14,,,,,,,,,,,,,
Impulse Phase,0.4,0.38,0.34,0.36,,0.4,0.38,,,,,,,,,,,,,
Delivery Phase,0.2,0.2,0.21,0.2,,0.2,0.20,,,,,,,,,,,,,
Release Phase,0.14,0.15,0.15,0.14,,0.14,0.14,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,
Release (°),31,35,29,30,,31,31,,,,,,,,,,,,,
Attack (°),7,-1,5,6,,7,5,,,,,,,,,,,,,
Yaw (°),17,15,14,15,,17,16,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
PKAc (°),166,164,163,164,,166,164.6,,,,,,,,,,,,,
PKAm (°),134,137,136,144,,134,137,,,,,,,,,,,,,
Difference,32,27,27,20,,32,27.6,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),126,127,125,127,,126,126.2,,,,,,,,,,,,,
Jav-Forearm Angle (°),49,45,48,45,,49,47.2,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.36,2.38,2.34,2.34,,2.36,2.356,,,,,,,,,,,,,
BSL (cm),1.82,1.8,1.89,1.82,,1.82,1.83,,,,,,,,,,,,,
ISL:BSL (%),0.3,0.32,0.24,0.29,,0.3,29%,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,
Draw distance (m),2.78,2.98,3.07,2.98,,2.78,2.918,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,
